wl (nm)	EQE (%)
7.610000e+02	6.468474e+01
7.620000e+02	6.464901e+01
7.630000e+02	6.461328e+01
7.640000e+02	6.457756e+01
7.650000e+02	6.454183e+01
7.660000e+02	6.451895e+01
7.670000e+02	6.449607e+01
7.680000e+02	6.447319e+01
7.690000e+02	6.445031e+01
7.700000e+02	6.442742e+01
7.710000e+02	6.444825e+01
7.720000e+02	6.446907e+01
7.730000e+02	6.448989e+01
7.740000e+02	6.451071e+01
7.750000e+02	6.453153e+01
7.760000e+02	6.458399e+01
7.770000e+02	6.463644e+01
7.780000e+02	6.468890e+01
7.790000e+02	6.474135e+01
7.800000e+02	6.479381e+01
7.810000e+02	6.479749e+01
7.820000e+02	6.480118e+01
7.830000e+02	6.480487e+01
7.840000e+02	6.480855e+01
7.850000e+02	6.481224e+01
7.860000e+02	6.480930e+01
7.870000e+02	6.480636e+01
7.880000e+02	6.480342e+01
7.890000e+02	6.480048e+01
7.900000e+02	6.479755e+01
7.910000e+02	6.478358e+01
7.920000e+02	6.476962e+01
7.930000e+02	6.475566e+01
7.940000e+02	6.474170e+01
7.950000e+02	6.472774e+01
7.960000e+02	6.468291e+01
7.970000e+02	6.463807e+01
7.980000e+02	6.459324e+01
7.990000e+02	6.454840e+01
8.000000e+02	6.450357e+01
8.010000e+02	6.451155e+01
8.020000e+02	6.451953e+01
8.030000e+02	6.452751e+01
8.040000e+02	6.453549e+01
8.050000e+02	6.454347e+01
8.060000e+02	6.458239e+01
8.070000e+02	6.462131e+01
8.080000e+02	6.466023e+01
8.090000e+02	6.469915e+01
8.100000e+02	6.473807e+01
8.110000e+02	6.471208e+01
8.120000e+02	6.468608e+01
8.130000e+02	6.466008e+01
8.140000e+02	6.463409e+01
8.150000e+02	6.460809e+01
8.160000e+02	6.460562e+01
8.170000e+02	6.460316e+01
8.180000e+02	6.460069e+01
8.190000e+02	6.459823e+01
8.200000e+02	6.459576e+01
8.210000e+02	6.455856e+01
8.220000e+02	6.452137e+01
8.230000e+02	6.448417e+01
8.240000e+02	6.444698e+01
8.250000e+02	6.440978e+01
8.260000e+02	6.440045e+01
8.270000e+02	6.439111e+01
8.280000e+02	6.438178e+01
8.290000e+02	6.437245e+01
8.300000e+02	6.436311e+01
8.310000e+02	6.431812e+01
8.320000e+02	6.427313e+01
8.330000e+02	6.422814e+01
8.340000e+02	6.418315e+01
8.350000e+02	6.413816e+01
8.360000e+02	6.415694e+01
8.370000e+02	6.417572e+01
8.380000e+02	6.419450e+01
8.390000e+02	6.421328e+01
8.400000e+02	6.423206e+01
8.410000e+02	6.421475e+01
8.420000e+02	6.419745e+01
8.430000e+02	6.418014e+01
8.440000e+02	6.416283e+01
8.450000e+02	6.414553e+01
8.460000e+02	6.414820e+01
8.470000e+02	6.415088e+01
8.480000e+02	6.415355e+01
8.490000e+02	6.415623e+01
8.500000e+02	6.415891e+01
8.510000e+02	6.410659e+01
8.520000e+02	6.405427e+01
8.530000e+02	6.400195e+01
8.540000e+02	6.394963e+01
8.550000e+02	6.389731e+01
8.560000e+02	6.392155e+01
8.570000e+02	6.394578e+01
8.580000e+02	6.397002e+01
8.590000e+02	6.399426e+01
8.600000e+02	6.401849e+01
8.610000e+02	6.400541e+01
8.620000e+02	6.399233e+01
8.630000e+02	6.397924e+01
8.640000e+02	6.396616e+01
8.650000e+02	6.395307e+01
8.660000e+02	6.396245e+01
8.670000e+02	6.397184e+01
8.680000e+02	6.398122e+01
8.690000e+02	6.399060e+01
8.700000e+02	6.399998e+01
8.710000e+02	6.400876e+01
8.720000e+02	6.401754e+01
8.730000e+02	6.402632e+01
8.740000e+02	6.403509e+01
8.750000e+02	6.404387e+01
8.760000e+02	6.404477e+01
8.770000e+02	6.404567e+01
8.780000e+02	6.404658e+01
8.790000e+02	6.404748e+01
8.800000e+02	6.404838e+01
8.810000e+02	6.402781e+01
8.820000e+02	6.400725e+01
